Name,ID,Lat,Lon,Elevelation,nyear,SimpleScaling_pvalue,GeneralScaling_pvalue
BEAUCEVILLE,7028754,46.2,-70.78,,10,NaN,NaN
WEST DITTON,7028906,45.4,-71.3,,25,0.001,0.022
WOBURN,7028946,45.38,-70.87,,23,0.001,0.704
L'ACADIE,702LED4,45.28,-73.35,,10,NaN,NaN
MONTREAL PIERRE ELLIOTT TRUDEAU INTL,702S006,45.47,-73.73,,76,0.001,0.918
ANGERS,7030170,45.55,-75.55,,11,NaN,NaN
BARRAGE MERCIER,7030457,46.72,-75.98,,13,NaN,NaN
CHENEVILLE,7031375,45.9,-75.08,,22,0.001,0.535
MANIWAKI UA,7034480,46.3,-76.02,,27,0.001,0.891
MONTREAL MIRABEL INT'L A,7035290,45.67,-74.03,,21,0.001,0.414
NOMININGUE,7035520,46.4,-75.08,,23,0.001,0.787
STE AGATHE DES MONTS,7036762,46.05,-74.28,,27,0.001,0.89
ST JEROME,7037400,45.8,-74.05,,23,0.005,0.092
SHAWVILLE,7038040,45.62,-76.47,,28,0.001,0.796
BAIE-COMEAU A,7040440,49.13,-68.2,,27,0.087,0.944
BAIE ST PAUL,7040446,47.42,-70.5,,13,NaN,NaN
LOURDES DE BLANC SABLON A,7040813,51.45,-57.18,,28,0.001,0.281
CAP TOURMENTE,7041177,47.07,-70.78,,11,NaN,NaN
CHARLEVOIX (MRC),7041312,47.28,-70.63,,13,NaN,NaN
FORESTVILLE,7042378,48.73,-69.08,,24,0.305,0.395
FORET MONTMORENCY RCS,7042395,47.32,-71.15,,33,0.001,0.031
GAGNON A,7042590,51.95,-68.13,,17,0.169,0.225
GRAND FONDS,7042870,47.75,-70.12,,16,0.788,0.989
HAVRE-SAINT-PIERRE A,7043018,50.28,-63.6,,13,NaN,NaN
NATASHQUAN A,7045400,50.18,-61.82,,26,0.097,0.015
PENTECOTE,7045910,49.73,-67.17,,12,NaN,NaN
SEPT-ILES,7047914,50.22,-66.25,,35,0.004,0.366
BAIE-COMEAU,704S001,49.27,-68.15,,13,NaN,NaN
CAP MADELEINE,7051160,49.23,-65.32,,24,0.364,0.518
CAP SEIZE,7051175,49.02,-66.4,,23,0.002,0.397
GASPE A,7052601,48.78,-64.48,,19,0.107,0.295
GRANDE RIVIERE,7052820,48.38,-64.53,,20,0.009,0.028
LAC HUMQUI,7053649,48.28,-67.57,,22,0.155,0.548
LA POCATIERE CDA,7054095,47.35,-70.03,,29,0.07,0.491
MATANE,7054640,48.85,-67.47,,11,NaN,NaN
MONT JOLI A,7055121,48.62,-68.22,,38,0.001,0.902
MURDOCHVILLE,7055380,48.95,-65.52,,17,0.076,0.07
NOTRE DAME DU LAC,7055675,47.6,-68.8,,12,NaN,NaN
NOUVELLE,7055705,48.1,-66.3,,27,0.051,0.597
RIMOUSKI,7056480,48.45,-68.52,,23,0.001,0.079
RIVIERE AU RENARD,7056563,49.02,-64.4,,11,NaN,NaN
RIVIERE DU LOUP,7056615,47.8,-69.55,,10,NaN,NaN
ST ALEXIS DE MATAPEDIA,7056814,47.98,-67.07,,15,0.001,0.871
ST BRUNO KAMOURASKA,7056922,47.45,-69.78,,21,0.004,0.966
ST CHARLES GARNIER,7056970,48.33,-68.05,,21,0.002,0.049
STE GERMAINE,7057287,46.42,-70.47,,30,0.002,0.521
ST JEAN DE CHERBOURG,7057395,48.88,-67.12,,24,0.084,0.754
